Dates,Prevalence
2020-06-21,0
2020-06-22,3.72142730235878e-59
2020-06-23,2.92567253418264e-57
2020-06-24,2.50205917734745e-55
2020-06-25,2.12695280473838e-53
2020-06-26,1.74351027059039e-51
2020-06-27,1.3327727484892e-49
2020-06-28,9.48141834516263e-48
2020-06-29,6.293364679329e-46
2020-06-30,3.90096982069746e-44
2020-07-01,2.26161516802904e-42
2020-07-02,1.22365453094251e-40
2020-07-03,6.17457237968616e-39
2020-07-04,2.90208440587456e-37
2020-07-05,1.26883957871336e-35
2020-07-06,5.1554171995353e-34
2020-07-07,1.94425817405586e-32
2020-07-08,6.79883840841369e-31
2020-07-09,2.20090356263968e-29
2020-07-10,6.58522378953994e-28
2020-07-11,1.81837285916761e-26
2020-07-12,4.62598956064631e-25
2020-07-13,1.0823469941099e-23
2020-07-14,2.32474348605275e-22
2020-07-15,4.57489669189189e-21
2020-07-16,8.23200031360566e-20
2020-07-17,1.3515195924391e-18
2020-07-18,2.02008037016714e-17
2020-07-19,2.74248297600836e-16
2020-07-20,3.37374240717924e-15
2020-07-21,3.7515117471407e-14
2020-07-22,3.76132626281887e-13
2020-07-23,3.39176636985001e-12
2020-07-24,2.74403664631815e-11
2020-07-25,1.98706608316195e-10
2020-07-26,1.2851892904525e-09
2020-07-27,7.41106107447847e-09
2020-07-28,3.80540493227326e-08
2020-07-29,1.73891439410067e-07
2020-07-30,7.07360229522257e-07
2020-07-31,2.56484884118965e-06
2020-08-01,8.31015895206925e-06
2020-08-02,2.41476283823921e-05
2020-08-03,6.32385558346963e-05
2020-08-04,0.000150167332260749
2020-08-05,0.000325658477934756
2020-08-06,0.000650116361132219
2020-08-07,0.00120458627080622
2020-08-08,0.0020878838325367
2020-08-09,0.00340795302163143
2020-08-10,0.00526421202703967
2020-08-11,0.0077184679413464
2020-08-12,0.0107582246267513
2020-08-13,0.0142666520471339
2020-08-14,0.0180198103881061
2020-08-15,0.0217242941228331
2020-08-16,0.0250872658155134
2020-08-17,0.0278894841473536
2020-08-18,0.0300275396546157
2020-08-19,0.0315090762797995
2020-08-20,0.0324116331706696
2020-08-21,0.0328324235522782
2020-08-22,0.0328533748321028
2020-08-23,0.0325298860209455
2020-08-24,0.031897090781185
2020-08-25,0.0309822575883562
2020-08-26,0.0298149183207127
2020-08-27,0.0284316845433357
2020-08-28,0.0268764454490821
2020-08-29,0.0251978957664029
2020-08-30,0.0234460739149106
2020-08-31,0.0216689383665182
2020-09-01,0.0199094840528571
2020-09-02,0.0182035388491055
2020-09-03,0.0165782576414789
2020-09-04,0.0150515165110997
2020-09-05,0.0136325852279561
2020-09-06,0.0123241477773098
2020-09-07,0.0111249950930244
2020-09-08,0.0100321979636591
2020-09-09,0.00904186647597949
2020-09-10,0.00814857715626367
2020-09-11,0.00734448979932422
2020-09-12,0.00661946344677104
2020-09-13,0.00596293037581738
2020-09-14,0.00536706834691153
2020-09-15,0.0048295141351849
2020-09-16,0.00435354038116103
2020-09-17,0.00394502715762991
2020-09-18,0.00360795740982092
2020-09-19,0.00334144783756943
2020-09-20,0.00314009131835777
2020-09-21,0.0029966775267755
2020-09-22,0.00290466248853247
2020-09-23,0.00285839220648531
2020-09-24,0.00285118183977192
2020-09-25,0.00287312043103059
2020-09-26,0.00291072807039606
2020-09-27,0.00294929573562144
2020-09-28,0.00297682770706857
2020-09-29,0.00298732815977155
2020-09-30,0.00298157384212777
2020-10-01,0.00296517535766503
2020-10-02,0.00294540158186953
2020-10-03,0.00292876314106829
2020-10-04,0.0029205266858554
2020-10-05,0.00292590270101693
2020-10-06,0.00295156454516708
2020-10-07,0.00300597100950888
2020-10-08,0.00309772599289057
2020-10-09,0.00323252438812528
2020-10-10,0.00341034099530768
2020-10-11,0.00362460637239075
2020-10-12,0.0038639477164255
2020-10-13,0.00411540786256718
2020-10-14,0.00436719993834928
2020-10-15,0.0046097562338956
2020-10-16,0.00483547222392252
2020-10-17,0.00503859897454029
2020-10-18,0.00521619540320202
2020-10-19,0.00536947051158771
2020-10-20,0.00550383787322726
2020-10-21,0.00562668227170817
2020-10-22,0.00574375100339542
2020-10-23,0.00585662082195341
2020-10-24,0.0059634647919853
2020-10-25,0.00606327674528206
2020-10-26,0.00616109110579976
2020-10-27,0.00627037793743462
2020-10-28,0.00640993714341261
2020-10-29,0.00659601618575412
2020-10-30,0.00683405129965231
2020-10-31,0.00711563907210682
2020-11-01,0.00742359329488765
2020-11-02,0.00774255607997662
2020-11-03,0.00806826342199098
2020-11-04,0.00840868503531155
2020-11-05,0.0087753726106477
2020-11-06,0.00917014001574818
2020-11-07,0.00957571829432655
2020-11-08,0.00995660045463234
2020-11-09,0.0102697268157192
2020-11-10,0.0104787295219218
2020-11-11,0.010564093063586
2020-11-12,0.0105251208635361
2020-11-13,0.0103749110044245
2020-11-14,0.0101327996394516
2020-11-15,0.0098183599988943
2020-11-16,0.00944847500347733
2020-11-17,0.00903674435077881
2020-11-18,0.00859385970325648
2020-11-19,0.00812819504068786
2020-11-20,0.00764663972122585
2020-11-21,0.00715593671961516
2020-11-22,0.00666442183712855
2020-11-23,0.00618345693745356
2020-11-24,0.00572748670356068
2020-11-25,0.00531192127071881
2020-11-26,0.0049490820002868
2020-11-27,0.00464382405530511
2020-11-28,0.00439121606073901
2020-11-29,0.00417797682885722
2020-11-30,0.00398735500698838
2020-12-01,0.00380501759883888
2020-12-02,0.00362284528089917
2020-12-03,0.00343897522464395
2020-12-04,0.00325495162911085
